Country,Total,PerCapita,Population,Total-Z,PerCapita-Z,Combined-Z_Total_PerCapita,MDI,Year
CZE,374,3.539544280834636e-05,10566332,-0.31473346640815375,-0.25453598376737113,-0.5692694501755249,16,2016
DEU,2583,3.1366627188594873e-05,82348669,0.4266109015883302,-0.3938491618601936,0.03276173972813662,25,2016
DNK,539,9.40989977321967e-05,5728010,-0.25935917002091075,1.7753853563143587,1.5160261862934479,45,2016
ESP,1085,2.334133363818334e-05,46484062,-0.07612058924857924,-0.6713573069722365,-0.7474778962208157,14,2016
EST,102,7.75199689920124e-05,1315790,-0.4060171549980332,1.2020959825927124,0.7960788275946793,35,2016
FRA,5346,8.012097097624571e-05,66724104,1.3538786647274361,1.292036522654367,2.645915187381803,60,2016
GBR,1534,2.338001456541377e-05,65611593,0.07456461728397906,-0.6700197518660586,-0.5954551345820795,16,2016
GRC,189,1.7539022701527316e-05,10775971,-0.3768197987211232,-0.8719965154049504,-1.2488163141260735,7,2016
HRV,160,3.8329329914676516e-05,4174349,-0.38655225081342653,-0.1530845460434427,-0.5396367968568693,17,2016
HUN,774,7.886673996993893e-05,9814023,-0.18049274789362518,1.2486662312231764,1.0681734833295513,39,2016
ITA,4151,6.84672819584275e-05,60627498,0.9528345181652821,0.8890614037091571,1.841895921874439,49,2016
JPN,272,2.1404513834240925e-06,127076000,-0.34896484962935853,-1.4044666284319316,-1.75343147806129,0,2016
KOR,672,1.3120437829010355e-05,51217803,-0.21472413111483,-1.0247875982843344,-1.2395117293991644,7,2016
LTU,43,1.4991818999236811e-05,2868231,-0.42581766097892615,-0.9600767544896526,-1.3858944154685786,5,2016
LUX,28,4.810880837917988e-05,582014,-0.430851687923221,0.18508189133358405,-0.24576979658963694,21,2016
LVA,39,1.9902660679538076e-05,1959537,-0.4271600681640714,-0.7902638302546968,-1.2174238984187682,7,2016
MKD,83,4.004844414207065e-05,2072490,-0.41239358912747326,-0.09363896969372715,-0.5060325588212005,17,2016
MNE,20,3.2138684852877136e-05,622303,-0.43353650229351154,-0.36715203371295957,-0.800688536006471,13,2016
NLD,648,3.8049797555112605e-05,17030314,-0.2227785742257017,-0.16275054842878794,-0.38552912265448963,19,2016
NOR,347,6.629071362621857e-05,5234519,-0.3237947149078844,0.8137974352590635,0.49000272035117903,31,2016
NZL,188,3.988035892323031e-05,4714100,-0.37715540051740953,-0.09945122029965583,-0.4766066208170654,18,2016
POL,579,1.524884575587093e-05,37970087,-0.24593509816945786,-0.9511889776090123,-1.1971240757784702,8,2016
PRT,262,2.5374191851359145e-05,10325452,-0.35232086759222175,-0.6010627179368895,-0.9533835855291113,11,2016
ROU,864,4.385282160677246e-05,19702267,-0.15028858622785626,0.03791331894265766,-0.1123752672851986,23,2016
SVK,254,4.6770290480330884e-05,5430798,-0.3550056819625123,0.13879702748710132,-0.216208654475411,21,2016
SVN,307,0.00014866525717152485,2065042,-0.3372187867593373,3.6622423725208195,3.3250235857614823,70,2016
TUR,1570,1.9667317183016837e-05,79827868,0.08664628195028663,-0.7984018175785926,-0.711755535628306,14,2016
USA,16838,5.2118452756725826e-05,323071755,5.210614507649842,0.3237321434124813,5.534346651062323,100,2016
ALB,122,4.245756940159536e-05,2873457,-0.33250350893274305,-0.16884233371721252,-0.5013458426499555,15,2017
AUS,1410,5.731273976845653e-05,24601860,-0.08518136722374438,0.2907249656862149,0.20554359846247056,24,2017
BEL,512,4.501036381208947e-05,11375158,-0.2576155933531549,-0.08986775421457244,-0.34748334756772736,17,2017
BGR,231,3.264580698526996e-05,7075947,-0.31157329662973,-0.4723841339592168,-0.7839574305889467,12,2017
CAN,1195,3.2699200519597135e-05,36545236,-0.1264657309406968,-0.47073232372948803,-0.5971980546701848,14,2017
CZE,392,3.7000546890736444e-05,10594438,-0.28065802891610514,-0.33766362867143834,-0.6183216575875434,14,2017
DEU,3428,4.147259054955804e-05,82657002,0.30231559082653464,-0.19931415328045912,0.10300143754607552,22,2017
DNK,454,7.875135733341659e-05,5764980,-0.2687527705419142,0.9539612217476368,0.6852084512057226,29,2017
ESP,1685,3.6164047502517315e-05,46593236,-0.03237578572531686,-0.36354201009034576,-0.3959177958156626,17,2017
EST,79,5.996732919179222e-05,1317384,-0.34076038167613354,0.3728487288056719,0.03208834712953834,22,2017
FRA,5709,8.531334310250064e-05,66918020,0.7403138868189462,1.1569662364426567,1.897280123261603,43,2017
GBR,3467,5.2483498087667545e-05,66058859,0.3098043823844934,0.14132502596168625,0.45112940834617965,26,2017
GRC,191,1.775971184263147e-05,10754679,-0.31925410848404673,-0.9329081383574481,-1.2521622468414948,7,2017
HRV,155,3.7580030311325094e-05,4124531,-0.32616683915293176,-0.3197364272949349,-0.6459032664478667,14,2017
